name;suspiciousness_value
org.joda.time$DateTime#DateTime(long,org.joda.time.DateTimeZone):160;0.17407765595569785
org.joda.time$DateTime#DateTime(int,int,int,int,int,org.joda.time.DateTimeZone):285;0.16666666666666666
org.joda.time.base$BaseDateTime#BaseDateTime(long,org.joda.time.DateTimeZone):110;0.10660035817780521
org.joda.time.tz$CachedDateTimeZone#nextTransition(long):123;0.10206207261596577
org.joda.time.base$AbstractInstant#toString():424;0.1018266349953196
org.joda.time.base$BaseDateTime#BaseDateTime(int,int,int,int,int,int,int,org.joda.time.DateTimeZone):223;0.09145661412745384
org.joda.time.format$ISODateTimeFormat#dateTime():936;0.0861727484432139
org.joda.time.format$ISODateTimeFormat#tTime():901;0.08478501284163323
org.joda.time.format$ISODateTimeFormat#time():866;0.08372183582789214
org.joda.time.format$DateTimeFormatterBuilder$Fraction#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):1846;0.08372183582789214
org.joda.time.format$DateTimeFormatterBuilder$TimeZoneOffset#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):2083;0.0830773163432567
org.joda.time.format$ISODateTimeFormat#hourMinuteSecondFraction():1450;0.08295018954139965
org.joda.time.format$ISODateTimeFormat#fractionElement():1659;0.08295018954139965
org.joda.time.format$DateTimeFormatterBuilder$Fraction#printTo(java.lang.StringBuffer,java.io.Writer,long,org.joda.time.Chronology):1879;0.08183170883849715
org.joda.time.field$PreciseDurationDateTimeField#remainder(long):126;0.07961173386514128
org.joda.time.format$ISODateTimeFormat#date():854;0.07808688094430304
org.joda.time.format$ISODateTimeFormat#yearMonthDay():1326;0.07756315349925287
org.joda.time.format$DateTimeFormatterBuilder$CharacterLiteral#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):1151;0.07684732793678399
org.joda.time.format$DateTimeFormatterBuilder$PaddedNumber#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):1408;0.07644707871564384
org.joda.time.format$DateTimeFormatterBuilder$Composite#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology,int,org.joda.time.DateTimeZone,java.util.Locale):2510;0.07644707871564384
org.joda.time.format$DateTimeFormatter#print(org.joda.time.ReadableInstant):580;0.07615096238502143
org.joda.time.format$DateTimeFormatter#printTo(java.lang.StringBuffer,org.joda.time.ReadableInstant):457;0.07605301898450907
org.joda.time.format$DateTimeFormatter#printTo(java.lang.StringBuffer,long,org.joda.time.Chronology):616;0.07547319081399415
org.joda.time.format$ISODateTimeFormat#literalTElement():1621;0.07110681947099658
org.joda.time.format$DateTimeFormatterBuilder$Composite#estimatePrintedLength():2504;0.06832312780114154
org.joda.time.format$ISODateTimeFormat#offsetElement():1671;0.06721660724223312
